max
0.168,0.63
0.168,0.606
0.188,0.5840000000000001
0.226,0.5920000000000001
0.336,0.614
0.392,0.766
0.32,0.758
0.244,0.69

max
0.496,0.238
0.452,0.14
0.576,0.122

max
0.656,0.704
0.648,0.5860000000000001
0.812,0.626
0.86,0.922

max
0.152,0.352
0.196,0.22199999999999998
0.114,0.18999999999999995
0.122,0.15000000000000002
0.222,0.18600000000000005
0.28,0.118
0.274,0.28800000000000003
0.376,0.396
0.228,0.484

max
0.672,0.41000000000000003
0.506,0.43200000000000005
0.54,0.33999999999999997
0.632,0.262
