Xcoord,Ycoord
0.5573340923423435,0.9608446152035393
0.8020524763410928,0.9567627872552996
0.5524523346638893,0.7615491495386116
0.9468246248423677,0.012153280566689517
0.5183858335990073,0.5415450952383749
0.9407127032036277,0.8350246368786368
0.3466496209637504,0.9457761040923791
0.8519486182264541,0.3623103983521049
0.44853198747372025,0.8682346767675644
0.41878514996615646,0.45402650823569446
0.3719933013144938,0.6208335594008473
0.25187751946839554,0.3480263408673363
0.9976804125706048,0.7775615487271098
0.01707016498492331,0.46065351539804855
0.10744460494317376,0.4202112841438238
0.8178419311791993,0.07956290589293735
0.37233018293046105,0.6522278676999941
0.8646625397481464,0.45738492372777617
0.6210317100304488,0.35311708682688914
0.09989313374856756,0.5080350989835039
0.8785122764441334,0.9893962603278926
0.6952396389013131,0.9270363514510687
0.557139027899576,0.6582786459775632
0.20149860138128417,0.3133309605442941
0.4540418432782023,0.6207750177485866
0.46703824877097166,0.7032161266820062
0.9963034347146327,0.8873874681290341
0.7029186393605188,0.9578863641225737
0.9685775175406096,0.6263768649710751
0.9765724515823216,0.645018189122849
0.059019401747224975,0.36333419606641815
0.16212633541626165,0.6288273118823031
0.9467065976429501,0.11701825644354846
0.07723821482799098,0.8929177955721982
0.3137985348836323,0.8486250278720813
0.05495013988131636,0.38293294234059283
0.06687076076347509,0.03879858821047233
0.45713169292383127,0.722104721683332
0.1329926425423984,0.2510048443963744
0.10902458108939728,0.9576522060912841
0.7612970266226973,0.9785757950018136
0.16937733295529955,0.15704879880335743
0.7627097836222326,0.21178728326158147
0.5799266047611137,0.9631298434291368
0.05926611607738552,0.053025665354871965
0.6721363899077255,0.24186022358127002
0.17219414586207227,0.1471638694558035
0.5914234073189819,0.1093063200784592
0.002477801987335493,0.4035345636020823
0.06390243199440448,0.57835107319522
0.8646604904090897,0.5967747470604102
0.7140856068474107,0.0023569359568621495
0.5671769762279506,0.7704919447811666
0.23587022393490187,0.6008171447405062
0.4841943009265778,0.8463789862313539
0.3939435475949802,0.49431550375677336
0.41648194414850825,0.17414984692645974
0.9505398869916135,0.10154700608421519
0.959992877326276,0.10685382121084963
0.612065129753959,0.6256608493798169
0.5331433021197142,0.749865439486844
0.6964379525198698,0.2578600720068177
0.6017940346221234,0.627940741191085
0.936496533275176,0.4970194265494371
0.31575713982789044,0.5640481120733697
0.02267891897670049,0.6951026876996793
0.7727629229641972,0.10173969795921811
0.2927874786408259,0.40716429373749996
0.20609032806605687,0.8147932003668841
0.7897266305814221,0.5303889472655167
