1.25
0.194,0.734
0.174,0.698
0.35,0.696
0.426,0.906
0.318,0.742
0.284,0.798

1.25
0.748,0.524
0.838,0.524
0.9,0.29400000000000004
0.87,0.138
0.388,0.07199999999999995
0.386,0.19799999999999995
0.664,0.22399999999999998
0.604,0.42800000000000005

1.25
0.148,0.358
0.214,0.356
0.248,0.254
0.162,0.20399999999999996

1.25
0.788,0.874
0.876,0.808
0.676,0.638

1.25
0.428,0.516
0.428,0.474
0.484,0.474
0.476,0.522

1.25
0.032,0.974
0.008,0.8160000000000001
0.06,0.894
0.126,0.802
0.136,0.97
